contact_id,from_node,to_node,start_time_sec,end_time_sec,capacity_kbps,range_km,node_type_from,node_type_to,operator_from,operator_to
C000009,beta-beta-3,gamma-gamma-3,0.00,180.00,4209.01,1447.75,SAT,SAT,beta,gamma
C000029,alpha-london,beta-beta-1,0.00,0.00,0.00,3467.06,GS,SAT,alpha,beta
C000036,beta-bognor_regis,beta-beta-1,0.00,0.00,0.00,3472.75,GS,SAT,beta,beta
C000049,beta-dubai,alpha-alpha-1,0.00,120.00,19509.50,1829.43,GS,SAT,beta,alpha
C000052,beta-dubai,beta-beta-1,0.00,450.00,0.00,3102.62,GS,SAT,beta,beta
C000056,gamma-wahiawa,beta-beta-2,0.00,420.00,8689.70,2478.62,GS,SAT,gamma,beta
C000061,gamma-landstuhl,beta-beta-1,0.00,120.00,0.00,3152.87,GS,SAT,gamma,beta
C000068,gamma-auckland,alpha-alpha-2,0.00,90.00,15442.62,2073.44,GS,SAT,gamma,alpha
C000024,alpha-redmond,beta-beta-2,60.00,900.00,3276.74,2803.40,GS,SAT,alpha,beta
C000007,beta-beta-3,gamma-gamma-1,180.00,360.00,849.68,2287.58,SAT,SAT,beta,gamma
C000045,beta-singapore,alpha-alpha-1,540.00,690.00,14325.09,2140.49,GS,SAT,beta,alpha
C000047,beta-singapore,gamma-gamma-2,540.00,1200.00,17023.59,1978.58,GS,SAT,beta,gamma
C000072,gamma-auckland,beta-beta-3,750.00,1230.00,0.00,3351.87,GS,SAT,gamma,beta
C000004,alpha-alpha-1,gamma-gamma-3,840.00,1140.00,3570.71,1607.32,SAT,SAT,alpha,gamma
C000013,alpha-boca_chica,alpha-alpha-3,990.00,1470.00,23573.71,1585.58,GS,SAT,alpha,alpha
C000001,alpha-alpha-1,gamma-gamma-1,1080.00,1410.00,3996.54,1500.86,SAT,SAT,alpha,gamma
C000048,beta-singapore,gamma-gamma-3,1080.00,1740.00,19677.68,1819.34,GS,SAT,beta,gamma
C000019,alpha-merritt_island,alpha-alpha-3,1140.00,1680.00,30471.37,1171.72,GS,SAT,alpha,alpha
C000065,gamma-beijing,gamma-gamma-2,1140.00,1890.00,22553.32,1646.80,GS,SAT,gamma,gamma
C000041,beta-clarksburg,alpha-alpha-3,1290.00,1830.00,28309.81,1301.41,GS,SAT,beta,alpha
C000053,beta-melbourne,alpha-alpha-1,1350.00,1800.00,20304.16,1781.75,GS,SAT,beta,alpha
C000030,alpha-london,beta-beta-2,1410.00,2310.00,6439.70,2613.62,GS,SAT,alpha,beta
C000037,beta-bognor_regis,beta-beta-2,1440.00,2310.00,6263.04,2624.22,GS,SAT,beta,beta
C000062,gamma-landstuhl,beta-beta-2,1440.00,2400.00,9920.45,2404.77,GS,SAT,gamma,beta
C000032,alpha-sydney,alpha-alpha-1,1530.00,1740.00,14096.08,2154.24,GS,SAT,alpha,alpha
C000012,alpha-boca_chica,alpha-alpha-2,1560.00,2010.00,21563.34,1706.20,GS,SAT,alpha,alpha
C000046,beta-singapore,gamma-gamma-1,1620.00,2310.00,21264.68,1724.12,GS,SAT,beta,gamma
C000057,gamma-wahiawa,beta-beta-3,1650.00,2640.00,13611.84,2183.29,GS,SAT,gamma,beta
C000018,alpha-merritt_island,alpha-alpha-2,1680.00,2250.00,29417.03,1234.98,GS,SAT,alpha,alpha
C000066,gamma-beijing,gamma-gamma-3,1710.00,2430.00,22722.25,1636.66,GS,SAT,gamma,gamma
C000067,gamma-auckland,alpha-alpha-1,1830.00,2130.00,16129.83,2032.21,GS,SAT,gamma,alpha
C000040,beta-clarksburg,alpha-alpha-2,1860.00,2400.00,26988.49,1380.69,GS,SAT,beta,alpha
C000028,alpha-london,alpha-alpha-3,2160.00,2730.00,29679.50,1219.23,GS,SAT,alpha,alpha
C000035,beta-bognor_regis,alpha-alpha-3,2160.00,2730.00,29610.96,1223.34,GS,SAT,beta,alpha
C000060,gamma-landstuhl,alpha-alpha-3,2250.00,2820.00,29664.13,1220.15,GS,SAT,gamma,alpha
C000064,gamma-beijing,gamma-gamma-1,2250.00,2970.00,21712.01,1697.28,GS,SAT,gamma,gamma
C000025,alpha-redmond,beta-beta-3,2400.00,3030.00,0.00,3161.63,GS,SAT,alpha,beta
C000027,alpha-london,alpha-alpha-2,2700.00,3300.00,28701.87,1277.89,GS,SAT,alpha,alpha
C000034,beta-bognor_regis,alpha-alpha-2,2700.00,3300.00,28584.80,1284.91,GS,SAT,beta,alpha
C000059,gamma-landstuhl,alpha-alpha-2,2790.00,3390.00,28641.61,1281.50,GS,SAT,gamma,alpha
C000070,gamma-auckland,beta-beta-1,2820.00,3630.00,1822.52,2890.65,GS,SAT,gamma,beta
C000043,beta-clarksburg,gamma-gamma-2,2850.00,3570.00,23354.63,1598.72,GS,SAT,beta,gamma
C000010,beta-beta-3,gamma-gamma-3,2970.00,3240.00,1397.62,2150.59,SAT,SAT,beta,gamma
C000051,beta-dubai,alpha-alpha-3,2970.00,3510.00,26666.27,1400.02,GS,SAT,beta,alpha
C000021,alpha-merritt_island,gamma-gamma-2,3030.00,3750.00,23067.72,1615.94,GS,SAT,alpha,gamma
C000015,alpha-boca_chica,gamma-gamma-2,3150.00,3630.00,10547.27,2367.16,GS,SAT,alpha,gamma
C000008,beta-beta-3,gamma-gamma-1,3210.00,3600.00,3881.87,1529.53,SAT,SAT,beta,gamma
C000044,beta-clarksburg,gamma-gamma-3,3390.00,4110.00,22846.61,1629.20,GS,SAT,beta,gamma
C000011,alpha-boca_chica,alpha-alpha-1,3480.00,4050.00,26681.02,1399.14,GS,SAT,alpha,alpha
C000050,beta-dubai,alpha-alpha-2,3540.00,4080.00,28043.81,1317.37,GS,SAT,beta,alpha
C000022,alpha-merritt_island,gamma-gamma-3,3570.00,4290.00,23443.52,1593.39,GS,SAT,alpha,gamma
C000003,alpha-alpha-1,gamma-gamma-2,3600.00,3720.00,471.58,2382.11,SAT,SAT,alpha,gamma
C000031,alpha-london,beta-beta-3,3600.00,4560.00,11103.16,2333.81,GS,SAT,alpha,beta
