OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-06-25T04:03:19.668096,13.76631525,.0023311,90.2230,71.9589,270.9414,186.3185,0,U,900,999,7252,.53286E-3,.532E-5,0
CALSPHERE 2,1964-063E,2026-06-25T00:28:05.282112,13.52900699,.0017741,90.2369,75.9834,198.9477,225.7407,0,U,902,999,85732,.49691E-4,.42E-6,0
LCS 1,1965-034C,2026-06-24T22:43:43.968288,9.89310788,.0012291,32.1357,158.5970,150.5571,209.5620,0,U,1361,999,21065,.17396E-2,.22E-6,0
TEMPSAT 1,1965-065E,2026-06-25T02:07:36.024096,13.33594391,.006825,89.9983,212.5947,225.3094,188.1906,0,U,1512,999,96110,.44892E-4,.31E-6,0
CALSPHERE 4A,1965-065H,2026-06-25T04:06:28.926432,13.36279793,.0072153,89.8987,122.4091,81.0397,25.7331,0,U,1520,999,96377,.1529E-3,.9E-6,0
OPS 5712 (P/L 160),1967-053A,2026-06-25T04:06:28.638720,14.77811045,.0000907,69.9176,18.7255,296.5381,63.5673,0,U,2826,999,6741,.1207E-2,.8617E-4,0
LES-5,1967-066E,2026-06-25T03:36:31.815936,1.09426170,.0051845,2.6416,96.1122,214.1604,285.4958,0,U,2866,999,13112,0,-.99E-6,0
SURCAL 159,1967-053F,2026-06-25T03:54:01.042848,13.99604518,.0004497,69.9749,343.6538,113.5712,246.5868,0,U,2872,999,1132,.87389E-4,.74E-6,0
OPS 5712 (P/L 153),1967-053H,2026-06-25T03:26:44.655360,13.96829437,.0008076,69.9741,98.2533,204.8776,155.1942,0,U,2874,999,790,.55213E-4,.24E-6,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-06-25T04:40:44.030784,14.37876353,.0058952,87.6218,336.5843,204.2523,155.5900,0,U,5398,999,87503,.2267E-3,.715E-5,0
OSCAR 7 (AO-7),1974-089B,2026-06-24T23:09:59.759136,12.53698160,.0012636,101.9899,189.2930,115.7171,315.2652,0,U,7530,999,36149,.64341E-4,-.36E-6,0
STARLETTE,1975-010A,2026-06-25T04:31:08.785632,13.82350476,.0205597,49.8240,73.0120,89.4928,272.9519,0,U,7646,999,59564,-.19287E-5,-.148E-5,0
LAGEOS 1,1976-039A,2026-06-24T06:47:31.881696,6.38664713,.00446684,109.8029,181.7638,300.7463,70.6504,0,U,8820,999,91359,0,.16E-6,0
PHASE 3B (AO-10),1983-058B,2026-06-23T16:21:57.137184,2.05872578,.60085647,25.9176,218.4895,117.4551,314.9460,0,U,14129,999,29562,0,-.85E-6,0
UOSAT 2 (UO-11),1984-021B,2026-06-23T20:47:24.218592,14.90797521,.00082183,97.8059,140.3663,151.7331,208.4334,0,U,14781,999,25812,.11662378E-3,.1092E-4,0
AJISAI (EGS),1986-061A,2026-06-25T04:03:24.185952,12.44516759,.0011168,50.0080,122.8504,200.8428,241.4851,0,U,16908,999,48138,-.41661E-4,-.103E-5,0
TDRS 3,1988-091B,2026-06-24T05:11:21.236928,1.00271480,.00379743,12.5960,340.9585,356.7788,323.6499,0,U,19548,999,12545,0,-.301E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-06-23T13:14:41.284608,2.13156050,.00233293,64.9490,71.9777,217.5416,311.3944,0,U,19751,999,29150,0,-.69E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-06-23T14:37:56.390880,2.13204638,.00207084,64.9303,310.3144,212.4098,159.6269,0,U,20026,999,28864,0,-.82E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-06-23T21:04:40.659168,1.00274034,.00040539,12.4196,351.1228,58.8942,303.9633,0,U,20253,999,26063,0,-.37E-5,0
LUSAT (LO-19),1990-005G,2026-06-24T23:54:19.223712,14.34125258,.0011577,98.8847,198.0168,177.8494,182.2741,0,U,20442,999,90351,.53001E-4,.102E-5,0
HST,1990-037B,2026-06-24T23:11:47.893056,15.30829347,.0001442,28.4728,27.4055,233.5980,126.4483,0,U,20580,999,78976,.22544E-3,.7148E-4,0
SKYNET 4C,1990-079A,2026-06-11T04:50:51.491904,1.00274127,.00024002,13.3424,349.8525,96.2313,279.5534,0,U,20776,999,13083,0,.132E-5,0
TDRS 5,1991-054B,2026-06-24T05:00:13.965408,1.00278084,.00059193,14.0700,353.7293,272.9037,273.1961,0,U,21639,999,12778,0,.81E-6,0
LAGEOS 2,1992-070B,2026-06-04T12:03:15.111072,6.47293610,.01378099,52.6594,274.6781,181.7676,222.9411,0,U,22195,999,79460,0,-.9E-7,0
TDRS 6,1993-003B,2026-06-25T05:13:42.303936,1.00268431,.0008492,14.1829,356.9986,179.5286,129.3738,0,U,22314,999,12248,0,-.297E-5,0
SCD 1,1993-009B,2026-06-25T05:33:26.010720,14.46121376,.0041737,24.9679,157.9050,222.8635,160.0190,0,U,22490,999,76228,.517E-4,.376E-5,0
UFO 2 (USA 95),1993-056A,2026-06-25T04:10:51.515040,1.00272467,.0004598,11.8973,3.5100,8.8734,352.2707,0,U,22787,999,11863,0,.124E-5,0
STELLA,1993-061B,2026-06-25T04:31:56.431776,14.27470629,.0005838,98.7723,240.4699,204.7723,248.4219,0,U,22824,999,70591,.31857E-7,-.45E-6,0
EYESAT A (AO-27),1993-061C,2026-06-25T04:20:35.012256,14.30944177,.0009517,98.6877,243.5916,79.1910,281.0343,0,U,22825,999,70814,.46862E-4,.79E-6,0
ITAMSAT (IO-26),1993-061D,2026-06-25T03:47:30.178752,14.31371311,.0009921,98.6825,243.4869,64.2862,295.9344,0,U,22826,999,70845,.48577E-4,.84E-6,0
USA 99 (MILSTAR-1 1),1994-009A,2026-06-24T22:43:40.800000,0.98724102,.0000588,17.6385,27.6261,207.4672,340.6467,0,U,22988,999,3302,0,-.227E-5,0
RADIO ROSTO (RS15),1994-085A,2026-06-25T00:13:24.388320,11.27583413,.0156204,64.8179,290.5658,2.4278,357.7371,0,U,23439,999,29678,-.10565E-3,-.46E-6,0
UFO 4 (USA 108),1995-003A,2026-06-24T19:38:38.743872,1.00273455,.0002953,9.6939,13.2032,77.4112,289.2045,0,U,23467,999,11503,0,-.22E-6,0
TDRS 7,1995-035B,2026-06-24T23:19:56.747712,1.00279226,.0011858,13.3739,348.1358,81.7682,282.1641,0,U,23613,999,11333,0,-.241E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-06-25T00:17:38.493312,1.00364344,.000201,14.0755,3.6920,132.3204,49.9224,0,U,23712,999,3296,0,-.208E-5,0
POLAR,1996-013A,2026-06-21T15:48:09.590112,1.29846120,.64748323,79.8598,226.9999,208.9246,90.1528,0,U,23802,999,14491,0,.83E-6,0
INMARSAT 3-F1,1996-020A,2026-06-25T03:33:09.639936,0.99978032,.0003822,10.6169,46.5609,64.2039,112.2286,0,U,23839,999,11033,0,-.66E-6,0
USA 119,1996-029A,2026-06-25T03:13:59.217024,13.46254704,.0851595,63.3165,171.3039,49.2894,317.8994,0,U,23893,999,10634,.2967E-3,.1763E-4,0
JAS-2 (FO-29),1996-046B,2026-06-25T03:33:17.275968,13.53274732,.0350915,98.5234,23.9293,75.8351,288.1508,0,U,24278,999,47424,.17093E-4,-.16E-6,0
INMARSAT 3-F2,1996-053A,2026-06-23T18:15:30.923712,1.00001315,.0006515,9.8711,53.8690,36.0978,238.8301,0,U,24307,999,10898,0,-.303E-5,0
